trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.01, 'e': 0.6361854860638709}",30,9,-78.73211854603046,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 1}",1
46,False,"{'a': 0.01, 'e': 0.6298236312032323}",25,0,-117.78775492238762,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.01, 'e': 0.6235253948912}",25,0,-97.3096700775888,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.617290140942288}",30,0,-69.01403191398055,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.611117239532865}",20,5,-31.384310706651434,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.01, 'e': 0.6050060671375364}",30,0,-101.4775035649327,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.598956006466161}",20,0,-115.82270020498778,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.5929664464014994}",20,0,-28.55210452700602,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.5870367819374844}",30,13,-70.92841866403715,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.01, 'e': 0.5811664141181095}",20,0,-29.11779563206333,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
55,False,"{'a': 0.01, 'e': 0.5753547499769285}",25,0,-187.34073224104193,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
56,False,"{'a': 0.01, 'e': 0.5696012024771592}",30,0,-117.55972686912874,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.5639051904523875}",20,0,-48.838313248051286,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.5582661385478637}",20,2,-44.78725596340438,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.5526834771623851}",20,0,-17.197909616692854,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.5471566423907612}",30,19,15.265669549854353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.5416850759668536}",30,0,-78.73121180028278,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.536268225207185}",25,12,-7.018353892642221,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.5309055429551132}",25,0,-82.87474458121149,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.525596487525562}",20,0,-59.937011163165984,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.5203405226503064}",20,0,-36.68087897028345,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.5151371174238033}",25,0,-118.05110000503694,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.5099857462495653}",20,9,-48.86588710319398,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
68,False,"{'a': 0.01, 'e': 0.5048858887870696}",20,3,-36.79093302372968,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 1}",1
69,False,"{'a': 0.01, 'e': 0.4998370298991989}",30,4,-65.04425004601346,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.49483865960020695}",30,6,-48.5001364338818,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.4898902730042049}",35,0,-90.58517022609863,"{0: 27, 1: 0, 2: 6, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.48499137027416284}",20,0,-46.61935546187685,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.4801414565714212}",20,10,-74.1995231968375,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 2}",1
74,False,"{'a': 0.01, 'e': 0.47534004200570695}",25,0,-11.474519387898757,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.4705866415856499}",25,0,-23.825662217685515,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
